construction	   ***   	structure  ; construction	city
conséquence	   ***   	consequence  ; effect  ; outcome  ; result  ; event  ; issue  ; upshot	science
contenir	   ***   	contain  ; incorporate  ; comprise	verb
contenir	   ***   	limit  ; restrict  ; restrain  ; trammel  ; bound  ; confine  ; throttle	verb
continuer	   ***   	continue  ; go on  ; proceed  ; go along  ; keep	verb
contraire	   ***   	opposite  ; reverse  ; contrary	abstract
contrat	   ***   	contract	business
contre	   ***   	against	preposition
contre	   ***   	at	preposition
contre	   ***   	at	preposition
contrôle	   ***   	control	science
contrôler	   ***   	control  ; command	verb
copain	   ***   	friend	family
copeau	   ***   	bit  ; chip  ; flake  ; fleck  ; scrap	abstract
copie	   ***   	copy	business
copier	   ***   	copy  ; re-create	verb
copine	   ***   	girlfriend  ; girl  ; lady friend	relations
corde	   ***   	rope	object
corps simple	   ***   	component  ; constituent  ; element  ; factor  ; ingredient	mathematics
costume	   ***   	clothing  ; article of clothing  ; vesture  ; wear  ; wearable  ; habiliment	clothes
coton	   ***   	cotton	material
cou	   ***   	neck  ; cervix	anatomy
coudre	   ***   	sew  ; run up  ; sew together  ; stitch	verb
couleur	   ***   	color  ; colour  ; coloring material  ; colouring material	art
coup	   ***   	blow	abstract
coup	   ***   	hit  ; hitting  ; striking	abstract
coup de fil	   ***   	call  ; phone call  ; telephone call	communication
coup de pied	   ***   	kick	verb
coup de pied	   ***   	kick  ; boot  ; kicking	abstract
coupe	   ***   	cup  ; loving cup	sports
couper	   ***   	cut	verb-basic
coupure	   ***   	cut  ; cutting	abstract
courant	   ***   	common	adjective
courant	   ***   	current  ; stream	geography
courant	   ***   	usual  ; common	adjective
courbe	   ***   	curve  ; curved shape	mathematics
courir	   ***   	run	verb-basic
courrier	   ***   	mail  ; mail service  ; postal service  ; post	communication
cours	   ***   	course  ; class  ; course of study  ; course of instruction	business
court	   ***   	short	adjective
couteau	   ***   	knife	kitchen
couvercle	   ***   	cover  ; screen  ; covert  ; concealment	object
cravate	   ***   	tie  ; necktie	clothes
crayon	   ***   	pencil	art
crier	   ***   	shout  ; shout out  ; cry  ; call  ; yell  ; scream  ; holler  ; hollo  ; squall	verb
critère	   ***   	standard  ; criterion  ; measure  ; touchstone	communication
crochet	   ***   	hook  ; claw	tool
croire	   ***   	believe	verb
croissance	   ***   	increase  ; increment  ; growth	abstract
cuillère	   ***   	spoon	kitchen
cuir	   ***   	leather	material
cuisine	   ***   	kitchen	house
cuisiner	   ***   	cook	verb
cuisinier	   ***   	cook	kitchen
culture	   ***   	culture  ; civilization  ; civilisation	society
célibataire	   ***   	single  ; unmarried	adjective-people
côté	   ***   	side	mathematics
cœur	   ***   	heart  ; pump  ; ticker	anatomy
danger	   ***   	danger	abstract
danger	   ***   	risk  ; hazard  ; jeopardy  ; peril  ; endangerment	abstract
dangereux	   ***   	dangerous  ; unsafe	adjective
dans	   ***   	among  ; amongst  ; amid  ; amidst	preposition
dans	   ***   	in  ; inwards  ; inward	adverb
dans	   ***   	into	preposition
danser	   ***   	dance  ; trip the light fantastic  ; trip the light fantastic toe	verb-basic
date	   ***   	date  ; day of the month	time
de	   ***   	from	preposition
de	   ***   	from	preposition
de	   ***   	of	preposition
de base	   ***   	basic	adjective-basic
de qui	   ***   	whose	pronoun
